Reference, Quantity, Value, Description, Footprint, OEM,Part No.
C1 C2 ,2,10uF,CER 10UF 50V X5R 1210,SMD 1210,TDK,C3225X5R1H106K250AB
C10 C6 C15 C11 C20 C16 C31 ,7,1uF,CER 1UF 10V X5R 0603,SMD 0603,Kemet,C0603C105K8PACTU
C14 ,1,150uF,,SMD 1210,Kemet,C1210C107M4PAC7800
C21 ,1,4.7uF,ALUM 4.7UF 20% 25V SMD,SMD 3mm x 5.3mm,Nichicon,UWT1E4R7MCL2GB
C23 C22 ,2,9pF,CER 9PF 25V C0G/NP0 0201,SMD 0201,Kemet,CBR02C909B3GAC
C24 C25 ,2,8pF,CER 8PF 25V C0G/NP0 0201,SMD 0201,Kemet,CBR02C809B3GAC
C28 C29 C30 C27 C26 ,5,100nF,CER 0.1UF 16V X7R 0402,SMD 0402,Kemet,C0402C104K4RACAUTO
C3 ,1,47uF,CER 47UF 16V X5R 1210,SMD 1210,Murata Electronics,GRM32ER61C476KE15L
C4 ,1,22uF,CER 22UF 6.3V X5R 0603,SMD 0603,Murata Electronics,GRM188R60J226MEA0D
C5 ,1,10uF,CER 10UF 6.3V X5R 0603,SMD 0603,Kemet,C0603C106M9PACTU
C8 C7 C13 C12 C18 C17 ,6,10uF,ALUM 10UF 20% 16V SMD,SMD 3mm x 5.3mm,Nichicon,UWT1C100MCL2GB
C9 C19 ,2,100nF,CER 0.1UF 16V X7R 0402,SMD 0402,Kemet,C0402C104K4RACAUTO
D1 D4 D10 D2 D5 D8 D11 D3 D6 D9 D12 D7 D13 D16 D22 D14 D17 D20 D23 D15 D18 D21 D24 D19 D25 D28 D34 D26 D29 D32 D35 D27 D30 D33 D36 D31 ,36,RGB,,PLCC-4,,
J1 ,1,2.1mm Jack,Conn Power PL 2 POS Solder RA SMD 3 Terminal 1 Port Bulk,Custom,Switchcraft,RASM722PX
J2 ,1,ARM-JTAG-SWD-10,,Headers 2 x 5 @ 1.27mm SMD,,
J3 ,1,2x4-1.27mm-0.05in,,Header 2 x 4 @ 1.27mm SMD,,
L1 ,1,2.2uH, IND 2.2UH 3A 46 MOHM SMD,IHLP-1212BZ,Vishay-Dale,IHLP1212BZER2R2M11
R1 ,1,40.2k,SMD 40.2K OHM 1% 1/16W 0402,SMD 0402,Vishay-Dale,CRCW040240K2FKEDC
R11 ,1,10K,SMD 10K OHM 1% 1/20W 0201,SMD 0201,Yageo,RC0201FR-0710KL
R2 ,1,4.42k,SMD 4.42K OHM 1% 1/16W 0402,SMD 0402,Vishay-Dale,CRCW04024K42FKED
R3 ,1,10k,SMD 10K OHM 1% 1/20W 0201,SMD 0201,Yageo,RC0201FR-0710KL
R4 ,1,1.37k,SMD 1.37K OHM 1% 1/16W 0402,SMD 0402,Vishay-Dale,CRCW04021K37FKED
R5 R6 R7 ,3,3.65K,SMD 3.65KOHM 0.1% 1/16W 0402,SMD 0402,Yageo,RT0402BRD073K65L
U1 ,1,TPSM84424,Module DC DC Converter 1 Output 0.6 ~ 10V 4A 4.5V - 17V Input,QFM-24,Texas Instruments,TPSM84424MOLR
U2 ,1,TPS62291,REG BUCK 3.3V 1A,WSON-6 2mm x 2mm @ 0.65mm,Texas Instruments,TPS62291DRVR
U3 U4 U5 ,3,LP5036,LED RGB Driver IC 12 (36) Output Linear Dimming,VQFN-46 5mm x 6mm @ 0.4mm,Texas Instruments,LP5036RJVR
U6 ,1,STM32F413CHUx,MCU,QFN-48 7mm x 7mm_@ 0.5mm,STElectronics,STM32F413CHU6
U7 ,1,M95512,EEPROM 512K SPI,TDFN-8 3mm x 2mm @ 0.5mm,STElectronics,M95512-DFMC6TG
U8 ,1,TPD3S014,,SOT-23-6,,
Y1 ,1,32.768K,CRYSTAL 32.7680KHZ 9.0PF SMT,Epson FC135R-2pin 3.2mm x 1.5mm,Epson,FC-135R 32.7680KF-AC3
Y2 ,1,16Mhz,CRYSTAL 16.0000MHZ 8PF SMD,Epson FA20H-4pin 2.5mm x 2.0mm,Epson,FA-20H 16.0000MF10Z-AJ0
